E_MeV,E_keV,H_Z1,He_Z2,Li_Z3,Be_Z4,B_Z5,C_Z6,N_Z7,O_Z8,F_Z9,Ne_Z10,Na_Z11,Mg_Z12,Al_Z13,Si_Z14,P_Z15,S_Z16,Cl_Z17,Ar_Z18,K_Z19,Ca_Z20,Sc_Z21,Ti_Z22,V_Z23,Cr_Z24,Mn_Z25,Fe_Z26,Co_Z27,Ni_Z28,Cu_Z29,Zn_Z30,Zr_Z40,Sn_Z50,Ba_Z56,W_Z74,Pt_Z78,Au_Z79,Hg_Z80,Pb_Z82,Th_Z90,U_Z92,Tl_Z81
0.001,1.0,7.217,60.84,233.9,604.1,1229.0,2211.0,3311.0,4590.0,5649.0,7409.0,654.2,922.5,1185.0,1570.0,1913.0,2429.0,2832.0,3184.0,4058.0,4867.0,5238.0,5869.0,6495.0,7405.0,8093.0,9085.0,9796.0,9855.0,10570.0,1553.0,4210.0,8157.0,8543.0,3683.0,4433.0,4652.0,4830.0,5210.0,6614.0,6626.0,5007.000000000004
0.0015,1.5,2.148,16.76,66.68,179.7,376.6,700.2,1083.0,1549.0,1979.0,2666.0,3194.0,4004.0,402.2,535.5,654.7,834.2,977.1,1105.0,1418.0,1714.0,1858.0,2096.0,2342.0,2694.0,2984.0,3399.0,3697.0,4234.0,4418.0,4825.0,1631.0,3296.0,4499.0,1643.0,1986.0,2089.0,2174.0,2356.0,3161.0,3382.0,2259.0000000000005
0.002,2.0,1.059,6.863,27.07,74.69,159.7,302.6,476.9,694.9,904.7,1243.0,1521.0,1932.0,2263.0,2777.0,301.8,385.3,452.0,512.0,659.2,799.9,870.6,986.0,1106.0,1277.0,1421.0,1626.0,1779.0,2049.0,2154.0,2375.0,811.5,1665.0,2319.0,3922.0,1081.0,1137.0,1184.0,1285.0,1742.0,1865.0,1231.0000000000005
0.003,3.0,0.5612,2.007,7.549,21.27,46.67,90.33,145.6,217.1,288.8,405.1,507.0,658.5,788.0,978.4,1118.0,1339.0,1473.0,170.3,219.8,267.6,292.2,332.3,374.3,433.9,485.1,557.6,612.9,709.4,748.8,831.1,1772.0,614.3,869.6,1902.0,1965.0,2049.0,2117.0,1965.0,718.0,769.2,2189.0
0.004,4.0,0.4546,0.9329,3.114,8.685,19.27,37.78,61.66,93.15,125.6,178.5,226.1,297.4,360.5,452.9,524.2,633.8,703.7,757.2,925.6,121.8,133.2,151.7,171.2,198.8,222.9,256.7,283.0,328.2,347.3,386.5,850.7,939.3,424.6,956.4,1100.0,1144.0,1179.0,1251.0,1253.0,1329.0,1211.9999999999998
0.005,5.0,0.4193,0.5766,1.619,4.369,9.683,19.12,31.44,47.9,65.14,93.39,119.4,158.3,193.4,245.0,286.0,348.7,390.1,422.5,518.9,602.6,630.5,683.8,92.91,108.0,121.2,139.8,154.3,179.3,189.9,211.8,475.5,847.1,241.4,553.4,640.2,666.1,686.9,730.4,887.8,889.1,706.8000000000001
0.006,6.0,0.4042,0.4195,0.9875,2.527,5.538,10.95,18.09,27.7,37.89,54.67,70.3,93.81,115.3,147.0,172.6,211.6,238.4,259.3,320.5,373.1,393.3,432.3,468.7,516.0,73.5,84.84,93.7,109.0,115.6,129.0,293.5,529.4,689.8,351.4,408.3,425.3,438.7,467.2,594.5,628.4,451.59999999999985
0.008,8.0,0.3914,0.2933,0.5054,1.124,2.346,4.576,7.562,11.63,16.02,23.28,30.18,40.61,50.33,64.68,76.6,94.65,107.5,118.0,146.9,172.6,182.8,202.3,221.7,251.3,273.4,305.6,324.8,49.52,52.55,58.75,135.6,250.0,333.4,170.5,198.7,207.2,214.0,228.7,293.9,310.8,220.79999999999993
0.01,10.0,0.3854,0.2476,0.3395,0.6466,1.255,2.373,3.879,5.952,8.205,11.97,15.57,21.05,26.23,33.89,40.35,50.12,57.25,63.16,79.07,93.41,99.52,110.7,121.8,138.6,151.4,170.6,184.1,209.0,215.9,233.1,74.17,138.4,186.0,96.91,113.2,118.1,122.1,130.6,168.9,179.1,126.0
0.015,15.0,0.3764,0.2092,0.2176,0.307,0.4827,0.8071,1.236,1.836,2.492,3.613,4.694,6.358,7.955,10.34,12.39,15.5,17.84,19.83,25.03,29.79,32.02,35.87,39.83,45.71,50.27,57.08,62.01,70.81,74.05,81.17,24.63,46.64,63.47,138.9,157.8,163.7,168.1,111.6,61.41,65.28,149.70000000000005
0.02,20.0,0.3695,0.196,0.1856,0.2251,0.3014,0.442,0.6178,0.8651,1.133,1.606,2.057,2.763,3.441,4.464,5.352,6.708,7.739,8.629,10.93,13.06,14.09,15.85,17.68,20.38,22.53,25.68,28.03,32.2,33.79,37.19,72.37,21.46,29.38,65.73,75.74,78.83,81.23,86.36,93.68,71.06,83.6
0.03,30.0,0.357,0.1838,0.1644,0.1792,0.2063,0.2562,0.3066,0.3779,0.4487,0.5923,0.7197,0.9306,1.128,1.436,1.7,2.113,2.425,2.697,3.413,4.08,4.409,4.972,5.564,6.434,7.141,8.176,8.962,10.34,10.92,12.07,24.85,41.21,9.904,22.73,26.41,27.52,28.41,30.32,38.92,41.28,29.29
0.04,40.0,0.3458,0.1763,0.1551,0.164,0.1793,0.2076,0.2288,0.2585,0.2828,0.3473,0.3969,0.4881,0.5685,0.7012,0.8096,0.9872,1.117,1.228,1.541,1.83,1.969,2.214,2.472,2.856,3.169,3.629,3.981,4.6,4.862,5.384,11.39,19.42,24.57,10.67,12.45,12.98,13.42,14.36,18.65,19.83,13.850000000000003
0.05,50.0,0.3355,0.1703,0.1488,0.1554,0.1665,0.1871,0.198,0.2132,0.2214,0.2579,0.2804,0.3292,0.3681,0.4385,0.4916,0.5849,0.6483,0.7012,0.8679,1.019,1.087,1.213,1.347,1.55,1.714,1.958,2.144,2.474,2.613,2.892,6.173,10.7,13.79,5.949,6.954,7.256,7.504,8.041,10.52,11.21,7.749999999999999
0.06,60.0,0.326,0.1651,0.1438,0.1493,0.1583,0.1753,0.1817,0.1907,0.192,0.2161,0.2268,0.257,0.2778,0.3207,0.3494,0.4053,0.4395,0.4664,0.5678,0.6578,0.6932,0.7661,0.8438,0.9639,1.06,1.205,1.314,1.512,1.593,1.76,3.744,6.564,8.511,3.713,4.339,4.528,4.683,5.021,6.592,7.035,4.839
0.08,80.0,0.3091,0.1562,0.1356,0.1401,0.1472,0.161,0.1639,0.1678,0.1639,0.1781,0.1796,0.1951,0.2018,0.2228,0.2324,0.2585,0.2696,0.276,0.3251,0.3656,0.3753,0.4052,0.4371,0.4905,0.5306,0.5952,0.6414,0.7306,0.763,0.8364,1.721,3.029,3.963,7.81,8.731,2.185,2.259,2.419,3.178,3.395,2.332
0.1,100.0,0.2944,0.1486,0.1289,0.1328,0.1391,0.1514,0.1529,0.1551,0.1496,0.16,0.1585,0.1686,0.1704,0.1835,0.1865,0.202,0.205,0.2043,0.2345,0.2571,0.2577,0.2721,0.2877,0.3166,0.3367,0.3717,0.3949,0.444,0.4584,0.4973,0.9658,1.676,2.196,4.438,4.993,5.158,5.279,5.549,1.83,1.954,5.396
0.15,150.0,0.2651,0.1336,0.1158,0.119,0.1243,0.1347,0.1353,0.1361,0.1298,0.137,0.1335,0.1394,0.1378,0.1448,0.1432,0.1506,0.148,0.1427,0.1582,0.1674,0.1619,0.1649,0.1682,0.1788,0.1838,0.1964,0.2023,0.2208,0.2217,0.2341,0.379,0.6091,0.7828,1.581,1.795,1.86,1.909,2.014,2.472,2.591,1.957
0.2,200.0,0.2429,0.1224,0.106,0.1089,0.1136,0.1229,0.1233,0.1237,0.1176,0.1236,0.1199,0.1245,0.1223,0.1275,0.125,0.1302,0.1266,0.1205,0.1319,0.1376,0.131,0.1314,0.1318,0.1378,0.1391,0.146,0.1476,0.1582,0.1559,0.1617,0.2237,0.326,0.4046,0.7844,0.8896,0.9214,0.9456,0.9985,1.234,1.298,0.9694
